,full,long,lat,order,hole,piece,group,fips,abbr,V2,State,Median_IBU,l_state
201,Alaska,-1414574.982,-1793449.188,228,FALSE,1,2.1,2,AK,AK, AK,46,alaska
202,Alaska,-1418368.954,-1787521.744,229,FALSE,1,2.1,2,AK,AK, AK,46,alaska
203,Alaska,-1419391.44,-1784110.972,230,FALSE,1,2.1,2,AK,AK, AK,46,alaska
204,Alaska,-1422384.711,-1781919.074,231,FALSE,1,2.1,2,AK,AK, AK,46,alaska
205,Alaska,-1425048.897,-1780927.946,232,FALSE,1,2.1,2,AK,AK, AK,46,alaska
206,Alaska,-1426825.824,-1774786.902,233,FALSE,1,2.1,2,AK,AK, AK,46,alaska
207,Alaska,-1425861.498,-1772557.214,234,FALSE,1,2.1,2,AK,AK, AK,46,alaska
208,Alaska,-1423603.192,-1770315.297,235,FALSE,1,2.1,2,AK,AK, AK,46,alaska
209,Alaska,-1423515.843,-1768800.228,236,FALSE,1,2.1,2,AK,AK, AK,46,alaska
210,Alaska,-1426412.878,-1767679.089,237,FALSE,1,2.1,2,AK,AK, AK,46,alaska
211,Alaska,-1430130.031,-1767776.751,238,FALSE,1,2.1,2,AK,AK, AK,46,alaska
212,Alaska,-1432956.695,-1765584.178,239,FALSE,1,2.1,2,AK,AK, AK,46,alaska
213,Alaska,-1437908.051,-1763572.635,240,FALSE,1,2.1,2,AK,AK, AK,46,alaska
214,Alaska,-1442916.589,-1761506.837,241,FALSE,1,2.1,2,AK,AK, AK,46,alaska
296,Alaska,-1444788.301,-1760460.263,242,FALSE,1,2.1,2,AK,AK, AK,46,alaska
297,Alaska,-1444967.578,-1755257.491,243,FALSE,1,2.1,2,AK,AK, AK,46,alaska
298,Alaska,-1446320.609,-1744496.279,244,FALSE,1,2.1,2,AK,AK, AK,46,alaska
299,Alaska,-1448511.631,-1736529.233,245,FALSE,1,2.1,2,AK,AK, AK,46,alaska
300,Alaska,-1451581.718,-1731811.686,246,FALSE,1,2.1,2,AK,AK, AK,46,alaska
301,Alaska,-1455919.477,-1727527.211,247,FALSE,1,2.1,2,AK,AK, AK,46,alaska
302,Alaska,-1464210.137,-1715895.774,248,FALSE,1,2.1,2,AK,AK, AK,46,alaska
